ano_eleicao,leg,nome_grupo,nome_normalizado,id_mandato,id_pessoa,sq_cand,metodo,nome_completo,dt_nasc,partido_tse,k,k_pu,condicao
2022,"20","DR YGLESIO","DR YGLESIO","M2022_MA_7_40321_100001607076","BOCEL0146071","100001607076","nome_parlamentar_x_urna","YGLESIO LUCIANO MOYSES SILVA DE SOUZA","1980-09-19","PSB","DR YGLESIO","DR YGLESIO","titular"
2022,"20","EDNA SILVA","EDNA SILVA","M2022_MA_7_51222_100001608109","BOCEL0169648","100001608109","nome_parlamentar_x_urna","EDNA SANTOS SILVA","1984-11-04","PATRIOTA","EDNA SILVA","EDNA SILVA","titular"
2022,"20","EDSON ARAUJO","EDSON ARAUJO",NA,NA,"100001607088","suplente_nome_parlamentar_x_urna","EDSON CUNHA DE ARAUJO","26/09/1952",NA,"EDSON ARAUJO","EDSON ARAUJO","suplente"
2022,"20","ENOS COSTA FERREIRA","ENOS COSTA FERREIRA",NA,NA,"100001614796","suplente_nome_parlamentar_x_urna","ENOS HENRIQUE NOGUEIRA FERREIRA","25/05/1975",NA,"ENOS COSTA FERREIRA","ENOS FERREIRA","suplente"
2022,"20","ERIC COSTA","ERIC COSTA","M2022_MA_7_55800_100001607118","BOCEL0165511","100001607118","nome_parlamentar_x_urna","WELLRYK OLIVEIRA COSTA DA SILVA","1984-06-02","PSD","ERIC COSTA","ERIC COSTA","titular"
2022,"20","FABIANA VILAR","FABIANA VILAR","M2022_MA_7_22000_100001603158","BOCEL0184763","100001603158","nome_parlamentar_x_urna","FABIANA VILAR RODRIGUES","1986-09-18","PL","FABIANA VILAR","FABIANA VILAR","titular"
2022,"20","FELIPE ARNON","FELIPE ARNON",NA,NA,NA,NA,NA,NA,NA,"FELIPE ARNON","FELIPE ARNON","suplente"
2022,"20","FERNANDO BRAIDE","FERNANDO BRAIDE","M2022_MA_7_20000_100001620079","BOCEL0160640","100001620079","nome_parlamentar_x_urna","FERNANDO SALIM BRAIDE","1985-11-04","PSC","FERNANDO BRAIDE","FERNANDO BRAIDE","titular"
2022,"20","FLORENCIO NETO","FLORENCIO NETO","M2022_MA_7_40222_100001607077","BOCEL0172171","100001607077","nome_parlamentar_x_urna","RAIMUNDO FLORÊNCIO MONTEIRO NETO","1987-03-20","PSB","FLORENCIO NETO","FLORENCIO NETO","titular"
2022,"20","FRANCISCO NAGIB","FRANCISCO NAGIB","M2022_MA_7_40400_100001607085","BOCEL0159355","100001607085","nome_parlamentar_x_urna","FRANCISCO NAGIB BUZAR DE OLIVEIRA","1984-10-04","PSB","FRANCISCO NAGIB","FRANCISCO NAGIB","titular"
2022,"20","FRED MAIA","FRED MAIA",NA,NA,"100001599583","suplente_nome_parlamentar_x_urna","CHARLES FREDERICK MAIA FERNANDES","02/04/1975",NA,"FRED MAIA","FRED MAIA","suplente"
