legislatura,nome,n_datas,n_vocabulos,primeira,ultima
19,ORIUNDA DO ALTO JOSÉ DO PINHO,1,4,2019-08-28,2019-08-28
19,LUIZ GONZAGA,1,2,2019-09-04,2019-09-04
19,MARCO AURELIO MEPROFESSOR PAULO DUTRA,1,5,2019-09-05,2019-09-05
19,U AMIGO,1,1,2019-09-05,2019-09-05
19,NO BRASIL,1,1,2019-09-09,2019-09-09
19,DA IGREJA EVANGÉLICA CONGREGACIONAL,1,3,2019-09-09,2019-09-09
19,DOENÇAS RARAS,1,2,2019-09-23,2019-09-23
19,MELO NUNES,1,2,2019-09-25,2019-09-25
19,PERSONALIDADES QUE PRESERVAM,1,3,2019-10-07,2019-10-07
19,PAULO ROBERTO FERNANDES PINTO JUNIOR,1,5,2019-10-15,2019-10-15
19,FÁBIO VINÍCIUS FERREIRA MOREIRA,2,4,2019-10-15,2021-12-07
19,JOSE MONSUETO CRUZ,1,3,2019-10-15,2019-10-15
19,PEDRO HENRIQUE ROCHA DE PAIVA,1,4,2019-10-15,2019-10-15
19,DA FORÇA AÉREA BRASILEIRA,1,3,2019-10-29,2019-10-29
19,ISALTINO NASCINENTO,1,2,2019-11-13,2019-11-13
19,Fabrício Ferraz,1,2,2019-10-21,2019-10-21
19,DOM JOSÉ RUI GONÇALVES LOPES,1,5,2020-02-05,2020-02-05
19,SUPERINTENDENTE-GERAL,2,2,2020-03-10,2021-12-07
19,HÉLIO LÚCIO DANTAS DA SILVA,2,4,2020-03-10,2021-12-07
19,PROCURADOR GERAL DESTA CASA,1,4,2020-03-10,2020-03-10
19,MAURÍCIO MOURA MARANHÃO DA FONTE,1,4,2020-03-10,2020-03-10
19,das Juntas,1,1,2021-04-01,2021-04-01
19,DELEGADAGLEIDE ÂNGELO,2,2,2019-11-27,2022-08-31
19,SEGUNDA SUPLENTE,1,2,2021-12-07,2021-12-07
19,QUARTO SUPLENTE,1,2,2021-12-07,2021-12-07
19,SEXTA SUPLENTE,1,2,2021-12-07,2021-12-07
19,PROCURADOR GERAL,1,2,2021-12-07,2021-12-07
19,CHRISTIANE VASCONCELLOS,1,2,2021-12-07,2021-12-07
19,CONSULTOR GERAL,1,2,2021-12-07,2021-12-07
19,CÁSSIA VILLARIM,1,2,2021-12-07,2021-12-07
19,SEJA FEITA A LAVRATURA DO TERMO,1,4,2022-04-13,2022-04-13
19,CLAUDIANO MARTINS FILHO FABÍOLA CABRAL,1,5,2022-05-31,2022-05-31
19,CORONELALBERTO FEITOSA,2,2,2022-09-05,2022-10-19
19,MARCO AURÉLIO MEU AUMIGO,1,4,2022-09-12,2022-09-12
19,SIMONE SANTANAE WANDERSON FLORÊNCIO,1,4,2022-11-24,2022-11-24
19,LORENA DE MEDEIROS SANTOS,1,3,2022-11-29,2022-11-29
