statement,qid,nome_wikidata,dt_nascimento,nome_bocel,nasc_bocel,tipo_div,cargo,uf,inicio,tipo_pareamento,url
Q59205416-0E523461-2A7B-48F0-9304-DA63175850AE,Q59205416,Euclides Fernandes,1947-10-16,EUCLIDES NUNES FERNANDES,1947-10-17,mesmo_ano_outro_dia,DEPUTADO ESTADUAL,BA,2015-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q59205416
Q59205416-59BBFD7C-2BFA-4807-A0AC-3FFE203EA89C,Q59205416,Euclides Fernandes,1947-10-16,EUCLIDES NUNES FERNANDES,1947-10-17,mesmo_ano_outro_dia,DEPUTADO ESTADUAL,BA,2019-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q59205416
Q59205416-47374A05-1920-4EFC-BDDD-736A89C969CA,Q59205416,Euclides Fernandes,1947-10-16,EUCLIDES NUNES FERNANDES,1947-10-17,mesmo_ano_outro_dia,DEPUTADO ESTADUAL,BA,2023-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q59205416
Q10326557-1eabf46f-7f27-4dd0-9f13-1c71711efe53,Q10326557,Marizete Pereira,1946-07-17,MARIZETE LISBOA FERNANDES PEREIRA,1946-06-17,mesmo_ano_outro_dia,DEPUTADO ESTADUAL,BA,2007-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q10326557
Q94787010-ecce7adc-40ea-af40-831d-3d1983c25fff,Q94787010,Laurez Moreira,1957-03-07,LAUREZ DA ROCHA MOREIRA,1957-07-03,dia_mes_trocados,DEPUTADO ESTADUAL,TO,1999-12-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q94787010
Q94787010-f88c4172-44b2-bd5d-a2fe-1dba9a6e6b78,Q94787010,Laurez Moreira,1957-03-07,LAUREZ DA ROCHA MOREIRA,1957-07-03,dia_mes_trocados,DEPUTADO ESTADUAL,TO,2003-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q94787010
Q94787010-a13e9732-416f-89ab-d164-10760b93dbea,Q94787010,Laurez Moreira,1957-03-07,LAUREZ DA ROCHA MOREIRA,1957-07-03,dia_mes_trocados,VICE-GOVERNADOR,TO,2023-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q94787010
Q5964218-bc3fba64-42a9-8fc4-9fd2-192ce6df5c72#1,Q5964218,Hélio de Oliveira Santos,1950-09-07,HÉLIO DE OLIVEIRA SANTOS,1950-09-06,mesmo_ano_outro_dia,PREFEITO,SP,2005-01-01,nome+uf+cargo+ano,https://www.wikidata.org/wiki/Q5964218
Q5964218-bc3fba64-42a9-8fc4-9fd2-192ce6df5c72#2,Q5964218,Hélio de Oliveira Santos,1950-09-07,HÉLIO DE OLIVEIRA SANTOS,1950-09-06,mesmo_ano_outro_dia,PREFEITO,SP,2009-01-01,nome+uf+cargo+ano,https://www.wikidata.org/wiki/Q5964218
Q118301948-b652e592-479b-a85e-1bd7-91f1665f734d,Q118301948,Carlos Ubaldino,1948-12-06,CARLOS UBALDINO DE SANTANA,1948-06-12,dia_mes_trocados,DEPUTADO ESTADUAL,BA,2007-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q118301948
