legislatura,nome,forma_saida,data_fim_exercicio,causa_original,url
12,Lucinha,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Luiz Martins,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Luiz Paulo,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,MARINA ROCHA,outro,,"Exerceram o mandato (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=2) | No lugar de Marina Rocha, que se tornou prefeita de Guapimirim, tomou posse o deputado Wellington José, 1º suplente do PMB, que assume seu primeiro mandato na Casa. “Vamos trabalhar as pautas",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=2 ; https://www.alerj.rj.gov.br/Visualizar/Noticia/50007
12,Marcelo Cabeleireiro,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Marcelo Dino,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Marcos Abrahão,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Marcos Muller,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Marcus Vinicius,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Martha Rocha,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
